"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Bin.4.04"," 0.125915146"," 0.280302089","-0.006751011"," 0.148611175","-0.172771904"," 0.071916411"," 0.176814934"," 0.269091801"," 0.210062077"," 0.125570567"," 0.185770247","-0.305477391"," 0.265344254","-0.036461510"," 0.125051368","-0.087207910"," 0.162661344","-0.084916994","-0.079800106"," 0.329152689"," 0.238902512"," 0.351830639"," 0.350048130","-0.270759308","-0.096877718","-0.059388801","-0.072947461"," 0.113429602","-0.037231087","-0.051206882","-0.036154581","-0.093629140","-0.401315877"," 0.020745187"," 0.148150511","-0.139469148","-0.219432781"," 0.055466063","-0.111474604","-0.071277233"," 0.041928233","-1.556283531","-0.132454233"," 0.193528936","-0.079909767","-0.068751383"," 0.342600996"," 0.159622514","-0.537951632"," 0.317384568"
"Bin.3.98"," 0.10766691","-0.05806770"," 0.30348112","-0.09196191"," 0.33590051"," 0.41081904"," 0.09114445","-0.34472469"," 0.19896853"," 0.21948643"," 0.41839459"," 0.19785039"," 0.53289260"," 0.42803218"," 0.96882201"," 0.53740038","-0.04045893"," 0.72452484"," 0.24131781"," 0.20199387"," 0.53690935","-0.25590028"," 0.21198286","-0.21654105"," 0.42699190","-0.65486399","-0.37109974","-0.57838670"," 0.18908236","-0.27999706"," 0.64829779","-0.25871837","-0.61042215"," 0.16902284"," 0.13904475","-0.02851444"," 0.28873688","-0.42531967","-0.38923025","-0.26409859","-0.27273830","-0.59503472","-0.37259657","-0.58920807","-0.61646554","-0.04083063"," 0.17379883","-0.09594501","-0.62481688","-0.62662199"
"Bin.3.94"," 0.606327046"," 0.126161139"," 0.422737570","-0.278039082"," 0.839352811","-0.008231360"," 0.102629451"," 0.632223961","-0.505861049","-0.206677276"," 0.017840610"," 0.842113593","-0.329276719"," 0.041594730","-0.303248215"," 0.020791461","-0.028112476"," 0.094513374","-0.166251458"," 0.077513389","-0.132135054","-0.189355825","-0.263084613"," 0.377634753"," 0.103111536","-0.376436610","-0.253212789","-0.106314498","-0.094340518"," 0.417729433","-0.200457264","-0.005603398"," 0.104812964","-0.121029702","-0.371367984"," 0.320517530","-0.006160257","-0.090630601"," 0.171921808"," 0.002892157","-0.364033358"," 0.259556509","-0.161094217","-0.319171566","-0.316631242","-0.239642685","-0.191978208"," 0.373133365"," 0.254995213","-0.581726376"
"Bin.3.90"," 0.12809562"," 0.05379260"," 0.15357365","-0.52813827"," 0.16942395","-0.46085636","-0.24511054","-0.18034509","-0.42347693","-0.18458042","-0.25811450"," 0.32936838","-0.21797835","-0.08876529","-0.26796675","-0.28159514","-0.11678359","-0.10742354","-0.14381918","-0.35766271","-0.15519580","-0.03281588","-0.23293754","-0.10621514"," 0.12310423"," 0.18895135","-0.03059262"," 0.01349432"," 0.03729822"," 0.26555828"," 0.46475531"," 0.64603242"," 0.48624109","-0.03874865","-0.12326512"," 0.04993621"," 0.38508474","-0.13151758"," 0.38127078"," 0.18847971","-0.11036472"," 1.15370071","-0.12636595","-0.27410321"," 0.12894296","-0.37643187","-0.46860574"," 0.60293150"," 0.26089027","-0.14114985"
"Bin.3.86"," 0.03532136"," 0.12239723"," 0.21782068","-0.34683718","-0.24163560","-0.45940795","-0.09019962","-0.08109691","-0.29894780","-0.12883138","-0.18956701","-0.03755589","-0.04553650","-0.22189188","-0.27593505","-0.24120240"," 0.04626036","-0.19797604","-0.06134149","-0.26840510","-0.38067169"," 0.19865734","-0.33983914","-0.11521715"," 0.11943086","-0.03138495","-0.07108601","-0.01998439"," 0.05251149"," 0.23474839"," 0.57146779"," 0.48910174"," 0.38523739","-0.32402267","-0.07061990","-0.04592231"," 0.27257459"," 0.08175176"," 0.42829275"," 0.26582251","-0.01716242"," 0.90579403","-0.23454622","-0.15289940"," 0.16160166","-0.19042293","-0.39523497"," 0.62409104"," 0.53237246","-0.16987346"
"Bin.3.82"," 0.1257102695"," 0.1699102780"," 0.1315632280","-0.1205149595","-0.3225166674","-0.3251816749"," 0.0015102027"," 0.0397844350","-0.2716931742"," 0.0515450325","-0.0337547292","-0.0977880093"," 0.0563751431","-0.1797417434","-0.3422432285","-0.1833772464"," 0.0062165760","-0.2136058082"," 0.0430866167","-0.0795504374","-0.2847270330"," 0.3312805959","-0.3052107870","-0.1728661452"," 0.0724992835"," 0.0539101936","-0.1765449901","-0.1258834205","-0.0003451564"," 0.0664350716"," 1.3754264105"," 0.3952965235"," 0.1007726364","-0.3560475190","-0.0471414694","-0.0655554302"," 0.1976845453","-0.1281556332"," 0.2668847196"," 0.1244278167","-0.0773536723"," 0.8434587249","-0.3217705717","-0.2219064856"," 0.2285502277","-0.3010271022","-0.4224479326"," 0.5262029270"," 0.0085919301","-0.0401723611"
"Bin.3.78","-0.206673409"," 0.105950770"," 0.052406055","-0.253318909","-0.218784748","-0.465859350","-0.028851253","-0.021727554"," 0.480084204","-0.199163359","-0.154573360"," 0.088617052"," 0.028975194","-0.218712880","-0.507299597","-0.360314140","-0.100990243","-0.284516014"," 0.024530546","-0.216204447"," 0.488668350"," 0.235897013","-0.375107423","-0.134420737"," 0.551811529"," 0.165525968","-0.181321030"," 0.026907115","-0.001017972"," 0.194357393"," 0.094704773"," 0.345757239"," 0.166103579","-0.600123589","-0.038557830"," 0.023396083"," 0.321522079"," 0.032234561"," 0.275773604"," 0.301230062"," 0.006050698"," 0.613289155","-0.335365260","-0.266387740"," 0.124984431","-0.269593414","-0.220962960"," 0.424510274"," 0.283288071"," 0.203271421"
"Bin.3.74","-0.32387605","-0.16861670","-0.13591623","-0.04645315","-0.65795066","-0.36515930","-0.03712603","-0.03420521","-0.32627379","-0.34425645","-0.26828788","-0.04509899","-0.24722558","-0.11228156","-0.50416677","-0.18003751","-0.10081625"," 0.04845859"," 0.10154266","-0.01222314","-0.07935421","-0.19232184","-0.39872060","-0.24787164"," 0.17227517"," 0.40425947"," 0.20667735","-0.05715842"," 0.09179839"," 0.26714849","-0.14554814"," 0.22352254"," 0.39699862","-0.48384410","-0.07156124"," 0.45321358"," 0.41014656"," 0.14884369"," 0.09897114"," 0.79371786"," 0.06438885"," 1.36328209","-0.11666955","-0.17019263","-0.02533866","-0.16954004","-0.26730484"," 0.19907997"," 0.72740709"," 0.16366503"
"Bin.3.70","-0.26666622","-0.18590115"," 0.12176872","-0.21609282","-0.44609244","-0.22107937","-0.03208282"," 0.04053647","-0.56359589","-0.27033599","-0.02789269"," 0.02189079","-0.19880803","-0.47487967","-0.44307290","-0.15439698","-0.32061129","-0.21969165"," 0.16573265","-0.28280417","-0.35018390","-0.04569775","-0.32161924","-0.26886620"," 0.04049495"," 0.49485518","-0.07137424"," 0.08383178","-0.02038201"," 0.41119346"," 0.61214040"," 0.38472593"," 0.42432125","-0.28446741","-0.19464430"," 0.25238362"," 0.41553009"," 0.20514523"," 0.29003053"," 0.21188321"," 0.31147828"," 1.28522772","-0.07743917","-0.22757617"," 0.05433799"," 0.08855041"," 0.17429866"," 0.34450493","-0.22595328","-0.02265449"
"Bin.3.66","-0.008888776","-0.170200153"," 0.122066140","-0.232784654","-0.023482112","-0.328033088"," 0.141998435"," 0.081810432","-0.239553616","-0.209369337","-0.159806309"," 0.454155231","-0.302803749","-0.272957704","-0.450226953","-0.075061854","-0.071723248","-0.206563245"," 0.196658632","-0.210203195"," 0.102224320","-0.089107345","-0.366673086","-0.105417844","-0.029385008"," 0.460464604","-0.107795089"," 0.215728176"," 0.259604329"," 0.695743625"," 0.211447007"," 0.311047516"," 0.069180095","-0.257217164","-0.022196832"," 0.194050122"," 0.363474687"," 0.276713238"," 0.299015314"," 0.202248122"," 0.370482010","-0.394783586","-0.213534097","-0.274911060"," 0.085194843"," 0.298671891"," 0.156937599"," 0.124080501","-0.567558400","-0.302759364"
"Bin.3.62","-0.077094596","-0.364073570"," 0.110472839","-0.382984599"," 0.282371464","-0.321358119","-0.015207639"," 0.041569585","-0.483131588","-0.185367340","-0.098892236"," 0.492259346","-0.482745385"," 0.141280701","-0.413929187","-0.050222279","-0.139688293","-0.244212163"," 0.068799452","-0.273269235"," 0.135968510","-0.147137754","-0.337545986","-0.213060764"," 0.105878890"," 0.233655901","-0.222712363"," 0.559358719"," 0.232121766"," 0.638441130"," 0.703474711"," 0.873744971","-0.048576490","-0.158723573","-0.194089404","-0.033126397"," 0.469616964"," 0.090242723"," 0.273436629"," 0.073570096"," 0.215231644"," 0.172248141","-0.034529590","-0.347841734","-0.039892121"," 0.090023224"," 0.002481583"," 0.198255532","-0.439782768","-0.455309352"
"Bin.3.58","-0.09675492"," 0.21701597"," 0.40834006","-0.20007523","-0.05975883"," 0.12944506"," 0.17698308"," 0.21074791","-0.13119674"," 0.09379736"," 0.04824161"," 0.16329329","-0.18101293"," 0.43890698","-0.35541012"," 0.27267444"," 0.35231615"," 0.08693706"," 0.25390055","-0.15760306"," 0.06807785","-0.02004961"," 0.22169186"," 0.21203562"," 0.76603951","-0.72989665","-0.40337753"," 0.81274310","-0.18132675","-0.25056184"," 0.39284038","-0.05268586","-0.08102496","-0.25472443","-0.58184337","-0.13519001","-0.02636067","-0.12323499"," 0.08409577","-0.12951315","-0.21699231","-0.13020460","-0.33940632"," 0.21030761","-0.30804937","-0.19389668","-0.69491952"," 0.42385144"," 0.36869307","-0.37790531"
"Bin.3.54","-0.006222045","-0.193678590"," 0.088988743","-0.241507669","-0.298886514"," 0.099687435","-0.193065820","-0.156206379","-0.520225233","-0.135590796","-0.163808440","-0.129836563","-0.374234473","-0.214387813","-0.327083122","-0.117118507","-0.265414921","-0.369210057"," 0.317810319","-0.097780584","-0.130613025","-0.257724196","-0.292462179","-0.058637378"," 0.304010743"," 0.502572102"," 0.118851607"," 0.715470349"," 0.169909341"," 0.140871875"," 0.831708298"," 0.161823925"," 0.346122342","-0.188041581","-0.490159464","-0.016133535"," 0.685753983"," 0.057931793"," 0.241040109"," 0.240802443"," 0.106625415"," 1.404120609","-0.309078591","-0.248340650","-0.142237094","-0.266590661","-0.388406518"," 0.257733102"," 0.440107102","-0.639259237"
"Bin.3.50"," 0.168769794","-0.112023042"," 0.095167484","-0.246185923","-0.223500085","-0.074004220","-0.122072338","-0.171335419","-0.354991299","-0.229226264","-0.160394217","-0.191174233","-0.250970617","-0.171464469","-0.165618610","-0.022079843","-0.224654955","-0.249079914"," 0.082736859","-0.139283971","-0.118888281","-0.184670096","-0.320420080","-0.279168320"," 0.227519935"," 0.430501403","-0.039190886","-0.097587281","-0.003517188"," 0.286261117"," 0.437324653"," 0.048345812"," 0.881685709","-0.207679146","-0.433862093"," 0.059560154"," 0.655420878","-0.083437997"," 0.056231011"," 0.242495385"," 0.135882003"," 1.821641058","-0.204400053","-0.359169080","-0.210140499","-0.200841967","-0.473228643"," 0.430331143"," 1.009826391","-0.745439760"
"Bin.3.46","-0.212812976"," 0.060317877"," 0.028412841"," 0.043479081","-0.384309336","-0.138670404","-0.088273224","-0.134778010","-0.031061256","-0.108925815","-0.051452247"," 0.184765616","-0.169472042","-0.207805732","-0.313306465"," 0.006974801"," 0.298247865","-0.299920795","-0.080904082","-0.138172209","-0.081393969","-0.070985603","-0.067460716","-0.348185773"," 0.045948880"," 0.604682039","-0.276149887","-0.221300126","-0.080523181"," 0.138248191","-0.028464484","-0.326739540"," 0.909900282","-0.231671588","-0.251774571","-0.152030780"," 0.618338378"," 0.273905366"," 0.137758288"," 0.057413518"," 0.001398302"," 1.932884880","-0.286954149","-0.371618074","-0.268224365"," 0.060131964","-0.637926231"," 0.473794681"," 0.832178210","-0.647513431"
"Bin.3.42","-0.362894416"," 0.168459635","-0.395131548"," 0.480474798","-0.269996725","-0.231791654"," 0.158459001","-0.082597490"," 0.046779071"," 0.036068854"," 0.079193794"," 0.325311043","-0.413358025","-0.406664993","-0.183579514","-0.002114075"," 0.130164907","-0.152502188"," 0.153506877","-0.444774358"," 0.286732044"," 0.095550978"," 0.074053657","-0.016124153","-0.005209565"," 0.669159260","-0.102201419","-0.040548091","-0.168042737"," 0.047980632","-0.921365141","-0.577030437"," 1.034435534","-0.070959560","-0.180050517","-0.393329981"," 0.604565363"," 0.166187005","-0.416441659"," 0.099254915","-0.196624598"," 1.748562124"," 0.015910213","-0.266577404","-0.271995218"," 0.295151465","-0.662078068"," 0.435260264"," 0.971771023","-0.889008926"
"Bin.3.38"," 0.2594553077","-0.1702102591"," 0.1637575549"," 0.0361814060","-0.2297467071"," 0.3875178257","-0.1528842812","-0.1651323531"," 0.4166389267","-0.2499945489","-0.1883972496","-0.1693746918","-0.3244450972","-0.3197727351","-0.2787676342","-0.3289828681","-0.1862278500","-0.2566057392"," 0.1670839916"," 0.0005249271","-0.2664478800","-0.0337445266","-0.2483270268","-0.7565506708","-0.0966869791"," 0.1712632273","-0.1301340445"," 0.4292495469"," 0.0698759099"," 0.2822870035"," 0.0772978901","-0.1170962166"," 0.6722717063"," 0.0813305772","-0.4951301889","-0.2016831752"," 0.1548198426","-0.0795306748","-0.0991485157"," 0.3567321887","-0.1484532836"," 1.3769678503"," 0.1056911438","-0.2558991435","-0.0156383957"," 0.1611819309","-0.1721141096"," 0.7349183560"," 0.4068512617","-0.3747715285"
"Bin.3.34"," 0.19295923","-0.03547764"," 0.53927626"," 0.31773613","-0.26073135"," 0.60542120"," 0.12710799"," 0.30160120"," 0.10613422","-0.07420544","-0.07683697"," 0.33346778","-0.32415568"," 0.03838249"," 0.19074435","-0.01668589","-0.03106551","-0.20561100"," 0.33963322"," 0.49528996"," 0.25712452","-0.36533370"," 0.21061823","-0.52058337"," 0.42395142","-0.09433762"," 0.01617244","-0.20184096"," 0.29764207","-0.22149995","-0.38658960","-0.11484364","-0.33864102"," 0.02120021","-0.18607006"," 0.16435129","-0.02243384"," 0.06467415","-0.36024125"," 0.66337068","-0.09990960","-0.21266298","-0.27294314","-0.22676833","-0.40497211","-0.01060341","-0.47003300"," 0.39388747","-0.11818405","-0.44748538"
"Bin.3.30","-0.15183997"," 0.15168789"," 0.10475712"," 0.40440881","-0.20759499"," 0.48832585","-0.18701253","-0.15525799"," 0.21853139","-0.22253929","-0.26601044","-0.03802594","-0.11490094","-0.11023270"," 0.24756998"," 0.14193259"," 0.36277015","-0.37510322"," 0.82914901"," 0.11769458"," 0.11264800","-0.26672436"," 0.08353504","-0.24533617"," 0.67952518","-0.28196387"," 0.41499708","-0.04471087"," 0.38994381","-0.76780040","-0.04148920"," 0.31321892","-0.55651754","-0.25451401","-0.11022635"," 0.34629487"," 0.05791861"," 0.29110635","-0.37740122"," 0.78209359"," 0.06145422","-0.28041686","-0.31041268"," 0.18642144","-0.41066050","-0.22597246","-0.59933086","-0.30590067"," 0.21649925","-0.09458771"
"Bin.3.26","-1.18701414"," 0.06202447","-0.66172554"," 0.93777651"," 0.01062427"," 0.19586888"," 0.11292127","-0.05471985"," 0.15655530"," 0.29076614"," 0.08468227"," 0.46963966","-0.38541801","-0.27054389","-0.51760204"," 0.16604118"," 0.10795471"," 0.37950861","-0.47649184","-0.22240206","-0.05186686"," 0.37130845"," 0.25763877"," 0.24977707"," 0.26775846","-0.46222224"," 0.26650491"," 0.07829303","-0.12840834"," 0.30499130","-0.24155289","-1.03172707"," 0.13544275"," 0.32853623"," 0.40091776"," 0.26806944"," 0.38804782"," 0.48707797","-0.42226367"," 0.37977555"," 0.19941602"," 0.68040276","-0.32428525","-0.43556235","-0.12377854"," 0.30076325","-0.05211386","-0.45278158"," 0.13587020","-0.97247501"
"Bin.3.22","-0.411215655","-0.115574342","-0.547401682","-0.233702599","-0.715587760"," 0.066562824","-0.055432412","-0.125111622","-0.362433299","-0.205351967"," 0.324408205","-0.038203068","-0.252060624","-0.071386344","-0.549823225"," 0.196912642"," 0.239550294"," 0.216906074"," 0.093316016","-0.173505572","-0.275953749","-0.471967339"," 0.078092314"," 0.483198593","-0.105387789"," 0.869183228"," 0.770581722"," 0.676535433","-0.165885407","-0.430224992","-0.332126698","-0.674978992"," 0.603817451"," 0.536585325","-0.195137797"," 0.093161075"," 0.202434690","-0.003747606","-0.434552101","-0.071372516","-0.245514319"," 0.584391410","-0.069263259","-0.554622624","-0.141722662"," 1.255740895","-0.103076940"," 0.812931380"," 0.302342135","-0.274326744"
"Bin.3.18","-0.15945183"," 0.20769625","-0.11557095"," 0.16155071","-0.45622855"," 0.24135484"," 0.10535088"," 0.09059157"," 0.16935939"," 0.23908489"," 0.24574848","-0.34338865"," 0.35142455"," 0.17486919","-0.19621836"," 0.14378223"," 0.51915313"," 0.15057603"," 0.07930995"," 0.11818558","-0.17877018"," 0.08346082"," 0.08337401"," 0.44507099"," 0.04633098"," 0.88523564","-0.04600275"," 0.27117351","-0.23402601","-0.60359779","-0.38692506","-0.52426809"," 0.03800965"," 0.24042518","-0.26507202","-0.20879487","-0.21445896","-0.11092225","-0.33572476","-0.09383896"," 0.03943854","-0.33017991","-0.28053676","-0.20809468","-0.18647439"," 0.55537704","-0.19507527"," 0.63391085","-0.19414622","-0.45207760"
"Bin.3.14"," 0.292538951"," 0.139563738"," 0.110012600"," 0.243950145","-0.187478483"," 0.312130858"," 0.204778635"," 0.263398497"," 0.095181560"," 0.152408988"," 0.375846484"," 0.009905800"," 0.084859211"," 0.182729457","-0.031643534"," 0.066410103"," 0.556035933"," 0.209590193"," 0.265788024"," 0.342097193","-0.072638687"," 0.279747629"," 0.123166934"," 0.524457663"," 0.161284688","-0.255477188","-0.015487574","-0.183019227","-0.214709048","-0.527880141","-0.644453374","-0.540839983","-0.239459861","-0.162907961"," 0.080738531","-0.002048485","-0.169612648"," 0.102254340","-0.297783412"," 0.116946834"," 0.280471222","-1.000816510","-0.168749209"," 0.185326072","-0.006936288","-0.206100995","-0.403750815"," 0.155157700","-0.054935324","-0.530049237"
"Bin.3.10"," 0.024697760","-0.208554567","-0.548117610"," 0.219469112","-0.151791088"," 0.714800198","-0.226479671"," 0.244641400","-0.042749136","-0.551037263","-0.073867303","-0.606949486","-0.508157954","-0.175929785","-0.161528875","-0.372255544"," 0.018830089","-0.463690369"," 0.980802809","-0.060056326","-0.550665289","-0.343178657","-0.417446771"," 0.220219867"," 0.662787823"," 0.173526608"," 0.509537115","-0.114061564"," 0.249909687","-0.607400074","-0.050043920"," 0.675613212","-0.255690137","-0.391707374","-0.161568238"," 0.346123965"," 0.007654517"," 0.356677784"," 0.106346901"," 0.778743459"," 0.438640140","-0.549996004"," 0.236481251"," 0.619741870","-0.143664326"," 0.251917751","-0.150459645"," 0.259130678"," 0.207468159","-0.416715183"
"Bin.3.06"," 0.055812430"," 0.353183252"," 0.024960999"," 0.224026032","-0.160729000"," 0.167194500"," 0.285462027"," 0.369199416"," 0.232453741"," 0.149440928"," 0.192279698","-0.281008807"," 0.365249283"," 0.044751832"," 0.120338686"," 0.018587263"," 0.191288385","-0.004590279","-0.124855579"," 0.337922718"," 0.205528517"," 0.345859321"," 0.378878339","-0.168864550","-0.273514911","-0.265132579","-0.051820226"," 0.037315032"," 0.173855177","-0.051964499","-0.314695074","-0.127415856","-0.378233334","-0.017192531"," 0.210632463"," 0.040690337","-0.293077583"," 0.102792343","-0.089906585","-0.073070562"," 0.080814087","-2.003288893","-0.321795282"," 0.269335528","-0.059643784","-0.125398211"," 0.277493741","-0.189786818","-0.297484798"," 0.418123665"
"Bin.3.02","-0.15319372","-0.45752293","-0.50689691","-0.50101315"," 1.27173767","-0.19713098","-0.32695244"," 0.10067640","-0.21625692"," 0.13314410","-0.04634347"," 0.56158782","-0.03007048","-0.09201765"," 0.10737960","-0.28681484","-0.51368631"," 0.01654305","-0.18807932"," 0.05034568"," 0.48016188"," 0.21044788"," 0.18207470"," 0.99220395"," 0.51042808"," 0.64067625","-0.27447262","-0.26007864","-0.17062747","-0.33819795","-0.31304262"," 0.02796813","-0.15418933"," 0.11288570","-0.30985075","-0.05616671","-0.36191151","-0.44902439","-0.40753706","-0.65687071","-0.49821581","-0.60202518"," 0.92679537"," 0.23183123"," 0.18089047"," 0.61762577"," 0.77167855"," 0.49444721","-0.51375613"," 0.26041651"
"Bin.3.04"," 0.012161140"," 0.276616384","-0.054574503"," 0.144017559"," 0.197391785"," 0.115216926"," 0.219231202"," 0.344774562"," 0.177107396"," 0.139496063"," 0.156556557","-0.154041290"," 0.326131923"," 0.009141504"," 0.108290299","-0.039209255"," 0.110324289","-0.022776552","-0.165454861"," 0.308609022"," 0.249691963"," 0.336438993"," 0.364200925"," 0.076474136","-0.162117507","-0.117705356","-0.106111323","-0.018062941"," 0.124546103","-0.113459496","-0.363034889","-0.135933015","-0.398654801","-0.019668404"," 0.146698634"," 0.009950307","-0.348921832"," 0.027582455","-0.157891040","-0.164634445"," 0.001545898","-1.908344308","-0.063497071"," 0.266968167","-0.047312641","-0.008441664"," 0.375598030","-0.095435443","-0.371457237"," 0.411977653"
"Bin.2.98","-0.172092836","-0.523046337","-0.079931235","-0.114350025","-0.151482561"," 0.057122318"," 0.188550925","-0.126941149","-0.690920375","-0.164551407","-0.134159589","-0.532130742","-0.244488403","-0.001651553","-0.133439006"," 0.335050002","-0.288619628"," 0.257495986","-0.595242815","-0.063290663","-0.011530025","-0.189882885","-0.201150884"," 0.713543759","-0.534430682","-1.023080895"," 0.418481174","-0.161634634"," 0.123820076","-0.199064048","-0.409816919"," 0.261465538"," 0.576414689"," 0.406999173","-0.047613395"," 0.149161864"," 0.023262715"," 0.155025783"," 0.067533410"," 0.222435096","-0.218337294","-0.563460382"," 1.445948919"," 0.349107713"," 0.367585154"," 0.115574804","-0.131437635"," 0.844392954"," 0.346920701"," 0.281885250"
"Bin.2.94","-0.55090331","-0.01062659"," 0.28757679"," 0.48210083"," 0.13924353"," 0.37566570"," 0.11268271","-0.29850117"," 0.29327871","-0.00036892","-0.20517247","-0.61316805","-0.23813160"," 0.31198629","-0.24656915"," 0.42776996","-0.27758369"," 0.69287540","-0.28423633","-0.44041856","-0.39829506"," 0.14961701","-0.17496688"," 0.41230821","-0.22861745","-0.52555692"," 0.34319843","-0.15812447"," 0.07351182","-0.62312722"," 0.29675278"," 0.02292886"," 0.51702102"," 0.32580743","-0.31138664","-0.01608034"," 0.14270686","-0.03071277"," 0.13565405"," 0.20377942","-0.01103116","-0.94282742"," 0.09154173"," 0.08812266"," 0.34119041","-0.32032324","-0.37250246"," 0.61708865"," 0.34961446"," 0.04520811"
"Bin.2.90"," 0.800828722","-0.122162005","-0.108626292"," 0.139101713"," 0.167114512","-0.056064129"," 0.052205000"," 0.009299042","-0.076967874"," 0.025995286","-0.193721313","-0.192473094","-0.115683855"," 0.204175814","-0.117790550"," 0.570356920","-0.251396900"," 0.017197468"," 0.120123991","-0.054119156","-0.204911503"," 0.065582733","-0.089703345"," 0.479622094","-0.508677433"," 1.399628164"," 0.001919825","-0.083965395","-0.004561260","-0.261376015","-0.299891140","-0.013005193"," 0.350499574"," 0.248448316","-0.143957946"," 0.391659379","-0.169191722","-0.088415617"," 0.060121353","-0.140275474","-0.150123064","-1.258455128","-0.426235972","-0.192719918"," 0.037456574","-0.274818028","-0.247378052"," 0.426060219"," 0.328603964","-0.049333291"
"Bin.2.86","-0.5483782436","-0.3084056546"," 0.1294352370"," 0.0127410360"," 0.1941770368","-0.1187207689","-0.1143877885","-0.2516374483","-0.3493183993","-0.1951314270","-0.2969151938","-0.3316238036","-0.2093214804"," 0.2364008853"," 0.2183552321"," 0.3710769172","-0.4460882666","-0.1696886920"," 0.0004170946"," 0.3251457952","-0.4451681306"," 0.2065964295","-0.2897688014"," 0.6718560571","-0.8978443366"," 1.2537871583"," 0.4421710588","-0.1685630806","-0.0634612010","-0.4662786612"," 0.3132983200"," 0.0488672708"," 0.5786550765","-0.0066724542"," 0.3616954745","-0.0631306898","-0.0741095304","-0.0252261124"," 0.5585972799","-0.0694332558"," 0.2617049542","-0.4735696844","-0.1582945628"," 0.1642442348"," 0.0482942935","-0.1915490011","-0.2707422920"," 0.3561226248"," 0.4893257673","-0.2395362731"
"Bin.2.82","-1.032781e-01","-1.607914e-01"," 5.656864e-01"," 8.478303e-01"," 4.725813e-05"," 1.453170e-01"," 3.355906e-02","-5.274624e-02","-1.829093e-01","-1.799933e-01","-2.176405e-01","-2.977847e-01","-1.527992e-01"," 1.237288e-01","-1.249713e-02"," 2.340633e-01"," 3.712930e-02","-3.829356e-02","-1.589464e-01","-1.142079e-01","-2.209130e-01","-2.389954e-02","-1.486441e-01"," 4.269639e-01","-9.879061e-01","-1.696526e-01"," 1.074332e-02"," 3.362583e-01"," 1.530309e-01","-1.405666e-01"," 5.033648e-02"," 2.718202e-01"," 2.075419e-01"," 2.157453e-02","-2.803417e-01"," 1.982462e-01","-1.316686e-01"," 7.859933e-03"," 4.697435e-01"," 2.199775e-01"," 3.674209e-01","-5.319333e-01","-2.115710e-01","-4.686662e-01"," 2.043785e-01"," 7.358372e-02","-2.713088e-01"," 4.926809e-01"," 2.126981e-01","-4.532607e-01"
"Bin.2.78","-0.000817099","-0.236606468"," 0.349508168"," 0.783716428","-0.064573987"," 0.065220749","-0.035589963","-0.117198330","-0.310841007","-0.235668990","-0.202070918","-0.308591530","-0.113051096"," 0.265972658"," 0.041308382"," 0.252710608"," 0.055779185","-0.097835291","-0.262142463","-0.139035100","-0.077123915","-0.136255983","-0.206374326"," 0.316918548","-1.009068611","-0.744677920","-0.090224349"," 0.085430991"," 0.155850528"," 0.271962963","-0.270425237"," 0.232981307"," 0.196827893"," 0.076728314","-0.106164724"," 0.656204928","-0.050082878"," 0.109161008"," 0.319159338"," 0.617566512"," 0.285325112","-0.604862754","-0.138985334","-0.307253080"," 0.410020360","-0.044545567","-0.367160787"," 0.451248332"," 0.350504623","-0.072879230"
"Bin.2.74"," 0.080847755"," 0.086879347","-0.001094006"," 0.946752331"," 0.032491947"," 0.001584707"," 0.068534468"," 0.168598259","-0.028198970","-0.124620179","-0.136831924"," 0.214887075"," 0.047646269","-0.031016415","-0.007957282","-0.081051152"," 0.583677229","-0.120705914"," 0.080497351","-0.137299881"," 0.084355004"," 0.276105966"," 0.134992861","-0.454004941","-0.070933385","-1.440571479","-0.173101271"," 0.167081348"," 0.119314477"," 0.118172108","-0.345298692","-0.135749199","-0.309959140","-0.177258267"," 0.262252353"," 0.304036572"," 0.128412448"," 0.266552303"," 0.375370883"," 0.249965096"," 0.328858909","-0.803119663","-0.261943699","-0.010655027"," 0.014747957"," 0.046259205","-0.140295801","-0.157194592","-0.200379601"," 0.160366253"
"Bin.2.70"," 0.031674785","-0.146658097"," 0.299716396"," 0.327340295"," 0.282525250"," 0.229964692"," 0.087439663"," 0.370118683"," 0.695665951"," 0.583784705"," 0.624350855"," 0.967273665"," 0.212096177"," 0.423890367","-0.052248521"," 0.282696999"," 0.951696021"," 0.663249267"," 1.105720659","-0.055928243"," 0.005773006"," 0.299600305"," 0.663026866"," 0.889027771"," 0.615077763","-0.075520857","-0.433832949","-0.218777874","-0.561941440","-0.632256108","-0.389075946","-0.551592697","-0.344597500","-0.071269408","-0.544716492","-0.378922009","-0.503104177","-0.670497864","-0.339574776","-0.622517380","-0.503391544","-0.789058723","-0.391500303","-0.440711219"," 0.186445921","-0.459097809","-0.693153398","-0.066770121","-0.326634185","-0.534806426"
